ReportID,SalesPersonID,ProductID,Quantity,TotalSalesValue
Rep70173,C21840,PR6115,655,2655
Rep70174,C21840,PR6119,3333,19600
Rep70175,C21840,PR6235,112,2415
Rep70176,C21840,PR6119,577,6380
Rep70177,C21840,PR6120,780,3740
Rep70178,C21840,PR6633,367,10090
Rep70179,C21840,PR6231,1118,8555
Rep70180,C21840,PR6230,100,1255
Rep70181,C21840,PR6234,1526,24845
Rep70182,C21840,PR6115,4400,25240
Rep70183,C21840,PR6119,219,2345
Rep70184,C21840,PR6119,750,4050
Rep70185,C21840,PR6231,680,5310
Rep70186,C21840,PR6115,8308,48705
Rep70187,C21840,PR6633,156,2765
Rep70188,C21840,PR6230,112,1070
Rep70189,C21840,PR6231,171,5570
Rep70190,C21840,PR6632,127,1595
Rep70191,C21840,PR6628,158,4895
Rep70192,C21840,PR6120,2255,11465
Rep70193,C21840,PR6632,113,1820
Rep70194,C21840,PR6120,961,4060
Rep70195,C21840,PR6227,431,3930
Rep70196,C21840,PR6628,158,4895
Rep70197,C21840,PR6628,158,4895
Rep70198,C21840,PR6119,9438,80380
Rep70199,C21840,PR6253,107,1030
Rep70200,C21840,PR6632,144,1140
Rep70201,C21840,PR6633,238,21240
Rep70202,C21840,PR6120,961,4060
Rep70203,C21840,PR6120,616,2835
Rep70204,C21840,PR6119,4127,68405
Rep70205,C21840,PR6633,166,5625
Rep70206,C21840,PR6248,102,1260
Rep70207,C21840,PR6119,750,4050
Rep70208,C21840,PR6231,266,2675
Rep70209,C21840,PR6628,127,3120
Rep70210,C21840,PR6119,2966,27315
Rep70211,C21840,PR6248,102,1260
Rep70212,C21840,PR6628,135,4560
Rep70213,C21840,PR6633,353,7795
Rep70214,C21840,PR6632,101,1035
Rep70215,C21840,PR6253,107,1030
Rep70216,C21840,PR6238,114,1040
Rep70217,C21840,PR6115,4766,17315
Rep70218,C21840,PR6253,138,1230
Rep70219,C21840,PR6231,1816,3750
Rep70220,C21840,PR6248,112,1685
Rep70221,C21840,PR6115,1497,9360
Rep70222,C21840,PR6231,1242,6115
Rep70223,C21840,PR6115,5719,31460
Rep70224,C21840,PR6116,208,1580
Rep70225,C21840,PR6115,1766,8410
Rep70226,C21840,PR6119,338,3695
Rep70227,C21840,PR6253,107,1020
Rep70228,C21840,PR6230,538,4120
Rep70229,C21840,PR6124,377,4625
Rep70230,C21840,PR6115,877,3320
Rep70231,C21840,PR6629,101,1205
Rep70232,C21840,PR6633,319,22345
Rep70233,C21840,PR6115,6833,27330
Rep70234,C21840,PR6120,616,2840
Rep70235,C21840,PR6253,103,1065
Rep70236,C21840,PR6628,256,4900
Rep70237,C21840,PR6230,956,16665
Rep70238,C21840,PR6248,101,1035
Rep70239,C21840,PR6629,101,1205
Rep70240,C21840,PR6230,190,1305
Rep70241,C21840,PR6253,103,1010
Rep70242,C21840,PR6238,110,1015
Rep70243,C21840,PR6633,367,10090
Rep70244,C21840,PR6124,377,4625
Rep70245,C21840,PR6231,413,1895
Rep70246,C21840,PR6119,750,4050
Rep70247,C21840,PR6112,126,1440
Rep70248,C21840,PR6632,101,1035
Rep70249,C21840,PR6633,443,18340
Rep70250,C21840,PR6632,100,1085
Rep70251,C21840,PR6632,108,1465
Rep70252,C21840,PR6230,875,8750
Rep70253,C21840,PR6120,1780,8935
Rep70254,C21840,PR6119,3136,28795
Rep70255,C21840,PR6119,750,4050
Rep70256,C21840,PR6231,1404,7380
Rep70257,C21840,PR6116,483,3925
Rep70258,C21840,PR6618,101,1045
Rep70259,C21840,PR6115,4988,28285
Rep70260,C21840,PR6231,191,1320
Rep70261,C21840,PR6632,144,1140
Rep70262,C21840,PR6231,277,1575
Rep70263,C21840,PR6120,961,4060
Rep70264,C21840,PR6124,377,4625
Rep70265,C21840,PR6120,2277,12735
Rep70266,C22075,PR6253,147,1450
Rep70267,C22075,PR6409,105,1050
Rep70268,C22075,PR6223,115,1260
Rep70269,C22075,PR6582,105,1130
Rep70270,C22075,PR6221,144,1195
Rep70271,C22075,PR6628,111,2080
Rep70272,C22075,PR6689,105,1325
Rep70273,C22075,PR6575,133,1560
Rep70274,C22075,PR6221,113,1105
Rep70275,C22075,PR6112,142,1645
Rep70276,C22075,PR6229,120,1610
Rep70277,C22075,PR6223,102,1025
Rep70278,C21905,PR6116,439,2585
Rep70279,C21905,PR6220,106,1205
Rep70280,C21905,PR6246,1350,7690
Rep70281,C21905,PR6229,121,1125
Rep70282,C21905,PR6112,151,1260
Rep70283,C21905,PR6253,104,1130
Rep70284,C21905,PR6615,2161,11235
Rep70285,C21905,PR6245,911,2760
Rep70286,C21905,PR6245,823,2125
Rep70287,C21905,PR6371,102,1055
Rep70288,C21905,PR6116,811,4420
Rep70289,C21905,PR6334,310,2235
Rep70290,C21905,PR6463,102,1035
Rep70291,C21905,PR6615,1205,7115
Rep70292,C21905,PR6220,143,1525
Rep70293,C21905,PR6112,148,1230
Rep70294,C21905,PR6395,118,1925
Rep70295,C21905,PR6334,320,2335
Rep70296,C21905,PR6463,103,1050
Rep70297,C21905,PR6371,102,1050
Rep70298,C21905,PR6334,279,2125
Rep70299,C21905,PR6322,106,1045
Rep70300,C21905,PR6463,102,1025
Rep70301,C21905,PR6245,433,2025
Rep70302,C21905,PR6334,180,1535
Rep70303,C21905,PR6615,1028,5610
Rep70304,C21905,PR6322,101,1045
Rep70305,C21905,PR6334,335,2235
Rep70306,C21905,PR6334,262,1875
Rep70307,C21905,PR6371,106,1090
Rep70308,C21905,PR6334,166,1515
Rep70309,C21905,PR6246,1271,7210
Rep70310,C21905,PR6334,333,2235
Rep70311,C21905,PR6615,752,4600
Rep70312,C22217,PR6115,11266,39455
Rep70313,C22217,PR6115,11233,39340
Rep70314,C22217,PR6115,11322,39645
Rep70315,C22217,PR6115,11344,39725
Rep70316,C22217,PR6115,11255,46715
Rep70317,C22217,PR6115,11277,39495
Rep70318,C22217,PR6115,11344,39725
Rep70319,C22217,PR6115,9544,33525
Rep70320,C22217,PR6115,12227,39265
Rep70321,C22217,PR6115,4366,18090
Rep70322,C22217,PR6115,11311,39610
Rep70323,C22217,PR6115,12227,46485
Rep70324,C22217,PR6115,11311,39610
Rep70325,C22217,PR6115,12227,39265
Rep70326,C22217,PR6115,4366,18090
Rep70327,C22217,PR6115,11266,39455
Rep70328,C22217,PR6115,11422,47400
Rep70329,C22217,PR6115,11288,39530
Rep70330,C22217,PR6115,11266,39455
Rep70331,C22217,PR6115,11266,46760
Rep70332,C22217,PR6115,11288,46850
Rep70333,C22217,PR6115,3132,19025
Rep70334,C22217,PR6115,11266,46760
Rep70335,C22217,PR6115,11322,46990
Rep70336,C22217,PR6115,11377,47215
Rep70337,C22217,PR6115,11322,39645
Rep70338,C22217,PR6115,11266,39455
Rep70339,C22217,PR6115,11322,39645
Rep70340,C22217,PR6115,11322,39645
Rep70341,C22217,PR6115,6988,28590
Rep70342,C22217,PR6115,11288,46850
Rep70343,C22217,PR6115,4366,18090
Rep70344,C22217,PR6115,12227,39265
Rep70345,C22217,PR6115,11255,46715
Rep70346,C22217,PR6115,11288,46850
Rep70347,C22217,PR6115,144,1565
Rep70348,C22217,PR6115,844,2425
Rep70349,C22217,PR6115,12227,39265
Rep70350,C22217,PR6115,11233,46625
Rep70351,C22217,PR6115,12227,39265
Rep70352,C22217,PR6115,655,4605
Rep70353,C22217,PR6115,6988,27970
Rep70354,C22217,PR6115,11244,39380
Rep70355,C22217,PR6115,4366,17705
Rep70356,C22217,PR6115,655,4605
Rep70357,C22217,PR6115,12227,39265
Rep70358,C22217,PR6115,11344,47080
Rep70359,C22217,PR6115,11255,39415
Rep70360,C22217,PR6115,11333,39685
Rep70361,C22217,PR6115,144,12825
Rep70362,C22217,PR6115,111,39455
Rep70363,C22217,PR6115,11266,39455
Rep70364,C22217,PR6115,6988,28590
Rep70365,C22217,PR6115,11266,39455
Rep70366,C22217,PR6115,6988,27970
Rep70367,C22217,PR6115,11288,39530
Rep70368,C22217,PR6115,655,4605
Rep70369,C22217,PR6115,166,1380
Rep70370,C22217,PR6115,11188,46440
Rep70371,C22217,PR6115,11288,39530
Rep70372,C22217,PR6115,6988,28590
Rep70373,C22217,PR6115,11311,39610
Rep70374,C22217,PR6115,11255,46715
Rep70375,C22217,PR6115,12227,39265
Rep70376,C22217,PR6115,11344,39725
Rep70377,C22217,PR6115,11288,46850
Rep70378,C22217,PR6115,12140,39265
Rep70379,C22217,PR6115,4366,18090
Rep70380,C22217,PR6115,11288,39530
Rep70381,C22217,PR6115,11255,46715
Rep70382,C22217,PR6115,12227,39265
Rep70383,C22217,PR6115,11277,39495
Rep70384,C22217,PR6115,6988,28590
Rep70385,C22217,PR6115,11244,46670
Rep70386,C22217,PR6115,11311,39610
Rep70387,C22217,PR6115,11311,39610
Rep70388,C22217,PR6115,11266,39455
Rep70389,C22217,PR6115,11333,39685
Rep70390,C22217,PR6115,11322,39645
Rep70391,C22217,PR6115,4633,18750
Rep70392,C22217,PR6115,11277,39495
Rep70393,C22217,PR6115,11333,39685
Rep70394,C22217,PR6115,100,4605
Rep70395,C22326,PR6257,12588,19805
Rep70396,C22326,PR6115,794,3605
Rep70397,C22326,PR6257,13422,21095
Rep70398,C22326,PR6273,806,3340
Rep70399,C22326,PR6254,3538,7630
Rep70400,C22326,PR6273,806,3340
Rep70401,C22326,PR6257,12955,20460
Rep70402,C22326,PR6257,13255,20820
Rep70403,C22326,PR6257,13444,21170
Rep70404,C22326,PR6115,155,1200
Rep70405,C22326,PR6115,377,2105
Rep70406,C22326,PR6115,933,4105
Rep70407,C22326,PR6115,933,4105
Rep70408,C22326,PR6257,13277,20560
Rep70409,C22326,PR6257,12033,18895
Rep70410,C22326,PR6257,13255,20820
Rep70411,C22326,PR6273,718,3095
Rep70412,C22326,PR6257,13255,20820
Rep70413,C22326,PR6115,794,3605
Rep70414,C22326,PR6254,3538,7630
Rep70415,C22326,PR6257,12033,18895
Rep70416,C22326,PR6273,2366,6370
Rep70417,C22326,PR6257,12033,18895
Rep70418,C22326,PR6115,794,3605
Rep70419,C22326,PR6273,630,2770
Rep70420,C22326,PR6273,630,2755
Rep70421,C22326,PR6257,12555,19860
Rep70422,C22326,PR6273,806,3340
Rep70423,C22326,PR6115,933,4105
Rep70424,C22326,PR6254,3538,7630
Rep70425,C22326,PR6273,2077,7555
Rep70426,C22326,PR6115,794,3605
Rep70427,C22326,PR6115,377,2000
Rep70428,C22254,PR6253,3288,31705
Rep70429,C22254,PR6115,11433,46660
Rep70430,C22254,PR6253,448,3975
Rep70431,C22254,PR6253,202,2725
Rep70432,C22254,PR6253,3288,32590
Rep70433,C22254,PR6182,272,2115
Rep70434,C22254,PR6208,175,1635
Rep70435,C22254,PR6115,10405,42110
Rep70436,C22254,PR6253,2188,11420
Rep70437,C22254,PR6276,161,1880
Rep70438,C22254,PR6182,458,4705
Rep70439,C22254,PR6253,757,7055
Rep70440,C22254,PR6253,448,3925
Rep70441,C22254,PR6182,172,1760
Rep70442,C22254,PR6135,136,1850
Rep70443,C22254,PR6135,350,9380
Rep70444,C22254,PR6135,136,1850
Rep70445,C22254,PR6182,172,1760
Rep70446,C22254,PR6135,206,2650
Rep70447,C22254,PR6552,116,1120
Rep70448,C22254,PR6182,172,1760
Rep70449,C22254,PR6135,151,2205
Rep70450,C22254,PR6182,450,5650
Rep70451,C22254,PR6250,119,1210
Rep70452,C22254,PR6276,186,2975
Rep70453,C22254,PR6351,272,7905
Rep70454,C22254,PR6253,2823,27105
Rep70455,C22254,PR6276,127,1975
Rep70456,C22254,PR6135,641,8245
Rep70457,C22254,PR6253,757,6650
Rep70458,C22254,PR6135,131,3305
Rep70459,C22254,PR6182,208,2295
Rep70460,C22254,PR6253,202,2725
Rep70461,C22254,PR6115,10405,42110
Rep70462,C22254,PR6135,152,2145
Rep70463,C22254,PR6250,119,1210
Rep70464,C22254,PR6253,794,6950
Rep70465,C22254,PR6135,1315,13940
Rep70466,C22254,PR6253,2823,27105
Rep70467,C22254,PR6135,206,2650
Rep70468,C22254,PR6253,2188,11070
Rep70469,C22254,PR6182,308,3230
Rep70470,C22254,PR6276,127,1950
Rep70471,C22254,PR6250,108,1280
Rep70472,C22254,PR6208,499,3075
Rep70473,C22254,PR6276,127,1950
Rep70474,C22254,PR6276,1044,10345
Rep70475,C22254,PR6182,372,4080
Rep70476,C22254,PR6253,448,3925
Rep70477,C22254,PR6276,319,4520
Rep70478,C22254,PR6253,100,1130
Rep70479,C22254,PR6135,472,4780
Rep70480,C22254,PR6135,175,2315
Rep70481,C22254,PR6135,1200,11210
Rep70482,C22254,PR6135,131,3305
Rep70483,C22254,PR6135,206,2650
Rep70484,C22254,PR6250,170,1300
Rep70485,C22254,PR6276,1044,10345
Rep70486,C22254,PR6135,131,3305
Rep70487,C22254,PR6182,450,5650
Rep70488,C22254,PR6182,569,5760
Rep70489,C22254,PR6182,450,5650
Rep70490,C22254,PR6250,116,1160
Rep70491,C22254,PR6253,3288,31705
Rep70492,C22254,PR6208,499,3075
Rep70493,C22254,PR6253,202,2675
Rep70494,C22254,PR6135,308,4390
Rep70495,C22254,PR6135,1215516,13940
Rep70496,C22254,PR6253,202,2675
Rep70497,C22254,PR6351,261,7895
Rep70498,C22254,PR6276,144,2530
Rep70499,C22254,PR6115,11433,46660
Rep70500,C22254,PR6135,368,5075
Rep70501,C22254,PR6253,465,3195
Rep70502,C22254,PR6351,586,21195
Rep70503,C22254,PR6253,202,2675
Rep70504,C22254,PR6135,411,6285
Rep70505,C22254,PR6135,221,4835
Rep70506,C22254,PR6175,225,1835
Rep70507,C22254,PR6250,119,1210
Rep70508,C22254,PR6182,272,2115
Rep70509,C22254,PR6175,400,3510
Rep70510,C22254,PR6253,757,6650
Rep70511,C22254,PR6250,119,1230
Rep70512,C22254,PR6276,711,4095
Rep70513,C22254,PR6135,136,1850
Rep70514,C22254,PR6253,202,2675
Rep70515,C22254,PR6115,11483,46385
Rep70516,C22254,PR6250,170,1300
Rep70517,C22254,PR6115,10405,42600
Rep70518,C22254,PR6276,1044,10345
Rep70519,C22254,PR6135,145,1785
Rep70520,C22254,PR6135,1315,13940
Rep70521,C22254,PR6175,225,1835
Rep70522,C22254,PR6253,202,2675
Rep70523,C22254,PR6135,690,8915
Rep70524,C22254,PR6276,144,2530
Rep70525,C22254,PR6253,757,6650
Rep70526,C22254,PR6182,272,2115
Rep70527,C22254,PR6253,3288,31705
Rep70528,C22254,PR6175,225,1880
Rep70529,C22254,PR6253,202,2675
Rep70530,C22254,PR6462,1877,7815
Rep70531,C22254,PR6115,10405,42110
Rep70532,C22254,PR6175,296,2660
Rep70533,C22254,PR6250,170,1300
Rep70534,C22254,PR6351,586,21195
Rep70535,C22254,PR6276,127,1950
Rep70536,C22254,PR6208,499,3075
Rep70537,C22254,PR6182,272,2150
Rep70538,C22254,PR6253,7101,60160
Rep70539,C22254,PR6253,2188,11070
Rep70540,C22254,PR6253,448,3925
Rep70541,C22254,PR6182,208,2295
Rep70542,C22254,PR6135,118,1440
Rep70543,C22254,PR6276,711,4095
Rep70544,C22254,PR6462,1711,3550
Rep70545,C22254,PR6351,586,21195
Rep70546,C22254,PR6253,2188,11070
Rep70547,C22254,PR6276,144,2530
Rep70548,C22254,PR6135,131,3415
Rep70549,C22254,PR6175,305,2620
Rep70550,C22254,PR6253,468,4030
Rep70551,C22254,PR6253,5475,31775
Rep70552,C22254,PR6135,206,2700
Rep70553,C22254,PR6175,225,1835
Rep70554,C22254,PR6182,172,1820
Rep70555,C22254,PR6276,225,3225
Rep70556,C21878,PR6116,135,2280
Rep70557,C21878,PR6134,104,1175
Rep70558,C21878,PR6116,437,8835
Rep70559,C21878,PR6297,142,3120
Rep70560,C21878,PR6294,108,3380
Rep70561,C21878,PR6253,155,2530
Rep70562,C21878,PR6548,1811,11305
Rep70563,C21878,PR6253,200,2430
Rep70564,C21878,PR6116,437,8835
Rep70565,C21878,PR6116,292,5305
Rep70566,C21878,PR6210,102,1145
Rep70567,C21878,PR6253,155,2530
Rep70568,C21878,PR6548,1811,11305
Rep70569,C21878,PR6294,108,3380
Rep70570,C21878,PR6115,101,1060
Rep70571,C21878,PR6548,1811,11305
Rep70572,C21878,PR6130,156,2075
Rep70573,C21878,PR6115,102,1060
Rep70574,C21878,PR6210,118,2690
Rep70575,C21878,PR6116,437,8835
Rep70576,C21878,PR6130,233,2035
Rep70577,C21878,PR6189,102,1090
Rep70578,C21878,PR6548,1811,11305
Rep70579,C21878,PR6294,108,3380
Rep70580,C21878,PR6253,116,2150
Rep70581,C21878,PR6294,108,3380
Rep70582,C21878,PR6294,106,2530
Rep70583,C21878,PR6134,211,3005
Rep70584,C21878,PR6116,352,6450
Rep70585,C21878,PR6115,100,1030
Rep70586,C21878,PR6210,110,1445
Rep70587,C21878,PR6294,106,2210
Rep70588,C21878,PR6253,155,2530
Rep70589,C21878,PR6294,106,2495
Rep70590,C21878,PR6253,116,2150
Rep70591,C21878,PR6253,116,2150
Rep70592,C21878,PR6294,100,1045
Rep70593,C21878,PR6253,155,2530
Rep70594,C21878,PR6253,113,1925
Rep70595,C21878,PR6130,159,1495
Rep70596,C21878,PR6253,116,2150
Rep70597,C21878,PR6297,117,1655
Rep70598,C21878,PR6297,101,1220
Rep70599,C21878,PR6253,110,1760
Rep70600,C21878,PR6210,158,3705
Rep70601,C21878,PR6548,4100,18380
Rep70602,C21878,PR6297,108,1840
Rep70603,C21878,PR6548,1455,7015
Rep70604,C21878,PR6130,132,1185
Rep70605,C21878,PR6116,331,6080
Rep70606,C21878,PR6297,136,2115
Rep70607,C21878,PR6204,103,1120
Rep70608,C21878,PR6294,110,2725
Rep70609,C21878,PR6282,105,1140
Rep70610,C21878,PR6297,166,1765
Rep70611,C21878,PR6116,437,8835
Rep70612,C21878,PR6282,102,1040
Rep70613,C21878,PR6204,101,1055
Rep70614,C21878,PR6294,110,2380
Rep70615,C21878,PR6297,102,1165
Rep70616,C21423,PR6282,2066,7245
Rep70617,C21423,PR6350,7744,92965
Rep70618,C21423,PR6184,256,2040
Rep70619,C21423,PR6350,3469,41210
Rep70620,C21423,PR6282,9297,44700
Rep70621,C21423,PR6259,5372,21600
Rep70622,C21423,PR6115,655,5025
Rep70623,C21423,PR6282,2594,2455
Rep70624,C21423,PR6552,10305,11630
Rep70625,C21423,PR6282,649,11160
Rep70626,C21423,PR6350,105,1070
Rep70627,C21423,PR6282,3849,17595
Rep70628,C21423,PR6282,2616,15275
Rep70629,C21423,PR6268,7063,16755
Rep70630,C21423,PR6282,1674,8155
Rep70631,C21423,PR6282,2583,9585
Rep70632,C21423,PR6367,447,4145
Rep70633,C21423,PR6259,9231,40770
Rep70634,C21423,PR6268,241,1590
Rep70635,C21423,PR6367,12979,6090
Rep70636,C21423,PR6268,3433,8050
Rep70637,C21423,PR6552,10816,3005
Rep70638,C21423,PR6350,113,1315
Rep70639,C21423,PR6282,2876,13240
Rep70640,C21423,PR6282,2245,10875
Rep70641,C21423,PR6282,333,2230
Rep70642,C21423,PR6282,3200,11440
Rep70643,C21423,PR6211,909,5295
Rep70644,C21423,PR6282,161,1280
Rep70645,C21423,PR6350,3494,39005
Rep70646,C21423,PR6282,2934,13745
Rep70647,C21423,PR6259,8266,39410
Rep70648,C21423,PR6350,7179,84275
Rep70649,C21423,PR6282,4226,19370
Rep70650,C21423,PR6549,4299,13475
Rep70651,C21423,PR6282,2932,13730
Rep70652,C21423,PR6211,1202,4670
Rep70653,C21423,PR6211,443,2015
Rep70654,C21423,PR6282,2095,9135
Rep70655,C21423,PR6282,7158,30325
Rep70656,C21423,PR6367,167,1300
Rep70657,C21423,PR6282,1068,4070
Rep70658,C21423,PR6367,447,4145
Rep70659,C21423,PR6350,155,2790
Rep70660,C21423,PR6211,443,2015
Rep70661,C21423,PR6350,106,1125
Rep70662,C21423,PR6282,367,1865
Rep70663,C21423,PR6268,7044,15680
Rep70664,C21423,PR6259,216,1560
Rep70665,C21423,PR6350,1417,16650
Rep70666,C21423,PR6184,256,2040
Rep70667,C21423,PR6184,278,2245
Rep70668,C21423,PR6282,669,7680
Rep70669,C21423,PR6259,16578,78825
Rep70670,C21423,PR6367,1307,6325
Rep70671,C21423,PR6259,17033,54915
Rep70672,C21423,PR6367,5906,26480
Rep70673,C21423,PR6282,480,2085
Rep70674,C21423,PR6282,1619,7830
Rep70675,C21423,PR6350,758,8680
Rep70676,C21423,PR6282,948,3745
Rep70677,C21423,PR6282,2616,15275
Rep70678,C21423,PR6188,1002,15400
Rep70679,C21423,PR6184,278,2245
Rep70680,C21423,PR6282,377,1945
Rep70681,C21423,PR6282,158,1310
Rep70682,C21423,PR6259,17033,54915
Rep70683,C21423,PR6115,238,1785
Rep70684,C21423,PR6549,3540,11920
Rep70685,C21423,PR6350,1417,16650
Rep70686,C21423,PR6350,3617,45065
Rep70687,C21423,PR6350,685,8640
Rep70688,C21423,PR6350,4910,57330
Rep70689,C21423,PR6350,665,9390
Rep70690,C21423,PR6259,700,3865
Rep70691,C21423,PR6282,4817,19510
Rep70692,C21423,PR6350,6034,69900
Rep70693,C21423,PR6259,3322,11585
Rep70694,C21423,PR6549,3646,11180
Rep70695,C21423,PR6282,3200,11440
Rep70696,C21423,PR6259,626,2480
Rep70697,C21423,PR6282,9297,44700
Rep70698,C21423,PR6282,333,2230
Rep70699,C21847,PR6242,366,5950
Rep70700,C21847,PR6242,2385,17245
Rep70701,C21847,PR6231,2378,10440
Rep70702,C21847,PR6115,4544,50120
Rep70703,C21847,PR6242,1216,6505
Rep70704,C21847,PR6115,3433,36210
Rep70705,C21117,PR6509,204,1235
Rep70706,C21117,PR6575,237,2090
Rep70707,C21117,PR6352,1449,23840
Rep70708,C21117,PR6144,105,1030
Rep70709,C21117,PR6509,204,1235
Rep70710,C21117,PR6352,2478,55400
Rep70711,C21117,PR6320,127,1065
Rep70712,C21117,PR6320,117,1195
Rep70713,C21117,PR6160,108,1310
Rep70714,C21117,PR6595,104,1390
Rep70715,C21117,PR6144,135,1200
Rep70716,C21117,PR6509,204,1235
Rep70717,C21117,PR6565,130,1060
Rep70718,C21117,PR6226,760,33470
Rep70719,C21117,PR6253,3696,19915
Rep70720,C21117,PR6352,1570,44075
Rep70721,C21117,PR6560,121,1075
Rep70722,C21117,PR6578,358,1580
Rep70723,C21117,PR6253,237,6590
Rep70724,C21117,PR6226,760,33470
Rep70725,C21117,PR6352,1570,44075
Rep70726,C21117,PR6608,169,1280
Rep70727,C21117,PR6575,120,1540
Rep70728,C21117,PR6575,237,2090
Rep70729,C21117,PR6565,127,1060
Rep70730,C21117,PR6253,699,3725
Rep70731,C21117,PR6226,760,33470
Rep70732,C21117,PR6115,1588,1835
Rep70733,C21117,PR6560,126,1165
Rep70734,C21117,PR6560,116,1045
Rep70735,C21117,PR6326,140,2560
Rep70736,C21117,PR6595,108,1505
Rep70737,C21117,PR6253,366,1950
Rep70738,C21117,PR6509,166,1215
Rep70739,C21117,PR6226,1072,5030
Rep70740,C21117,PR6575,120,1540
Rep70741,C21117,PR6320,117,1195
Rep70742,C21117,PR6115,430,2390
Rep70743,C21117,PR6472,110,1230
Rep70744,C21117,PR6352,1377,28620
Rep70745,C21117,PR6560,123,1125
Rep70746,C21117,PR6115,430,2390
Rep70747,C21117,PR6227,161,1195
Rep70748,C21117,PR6616,111,1065
Rep70749,C21117,PR6616,102,1035
Rep70750,C21117,PR6575,219,2385
Rep70751,C21117,PR6253,100,1030
Rep70752,C21117,PR6474,202,1585
Rep70753,C21117,PR6509,166,1215
Rep70754,C21117,PR6320,117,1195
Rep70755,C21117,PR6585,155,1210
Rep70756,C21117,PR6474,121,1115
Rep70757,C21117,PR6585,155,1210
Rep70758,C21117,PR6352,211,4850
Rep70759,C21117,PR6352,355,9515
Rep70760,C21117,PR6352,3012,65455
Rep70761,C21117,PR6320,147,1495
Rep70762,C21117,PR6474,340,1295
Rep70763,C21117,PR6474,472,1995
Rep70764,C21117,PR6227,119,1035
Rep70765,C21117,PR6562,107,1045
Rep70766,C21117,PR6509,204,1235
Rep70767,C21117,PR6616,103,1015
Rep70768,C21117,PR6472,104,1045
Rep70769,C21117,PR6560,116,1075
Rep70770,C21117,PR6253,129,1445
Rep70771,C21117,PR6253,237,6590
Rep70772,C21117,PR6474,1573,7990
Rep70773,C21117,PR6320,146,1305
Rep70774,C21117,PR6161,118,1535
Rep70775,C21117,PR6253,129,1445
Rep70776,C21117,PR6253,502,2925
Rep70777,C21117,PR6552,150,1060
Rep70778,C21117,PR6226,760,33470
Rep70779,C21117,PR6564,147,1060
Rep70780,C21117,PR6616,102,1035
Rep70781,C21117,PR6509,644,1170
Rep70782,C21117,PR6608,102,1075
Rep70783,C21117,PR6461,597,1585
Rep70784,C21117,PR6253,102,2665
Rep70785,C21117,PR6461,2039,2340
